gene	locus tag	accession number (protein_id)	description	reference	source	class
ehaC	Z3487	NP_288807	adhesin, YafL	Escherichia coli O157:H7 EDL933 (EHEC)	manually	Autotransporter_T5SS
ehaD	Z3948	NP_289202	ABC transporter ATP-binding protein, YpjA	Escherichia coli O157:H7 EDL933 (EHEC)	manually	Autotransporter_T5SS
ehaG	Z5029	NP_290185	adhesin (trimeric autotransporter); positional ortholog to upaG	Escherichia coli O157:H7 EDL933 (EHEC)	manually	Autotransporter_T5SS
ehaJ	E2348C_2704	YP_002330202	AidA autotransporter-like protein (AIDA-I type)	Escherichia coli O127:H6 E2348/69 (EPEC)	manually	Autotransporter_T5SS
eibA	ECED1_1678	YP_002397649	immunoglobulin-binding protein from phage origin (trimeric autotransporter)	Escherichia coli O81 ED1a (NPEC)	manually	Autotransporter_T5SS
eibC		AAF63035	immunoglobulin-binding protein EibC (trimeric autotransporter)	Escherichia coli ECOR-9	VFDB R3	Autotransporter_T5SS
eibD		AAF63040	immunoglobulin-binding protein EibD (trimeric autotransporter)	Escherichia coli ECOR-9	VFDB R3	Autotransporter_T5SS
eibE		AAF63045	immunoglobulin-binding protein EibE (trimeric autotransporter)	Escherichia coli ECOR-9	VFDB R3	Autotransporter_T5SS
eibF		AAL31493	immunoglobulin-binding protein EibF (trimeric autotransporter)	Escherichia coli ECOR-2	VFDB R3	Autotransporter_T5SS
eibG		ADJ17717	immunoglobulin binding protein (trimeric autotransporter)	Escherichia coli 393/98	VFDB R3	Autotransporter_T5SS
epeA		AAL18821	autotransporter protease (SPATE)	Escherichia coli O113:H21 EH41 plasmid pO113 (STEC)	VFDB R3	Autotransporter_T5SS
espC	E2348C_2915		extracellular serine protease EspC (SPATE)	Escherichia coli O127:H6 E2348/69 (EPEC)	VFDB R3	Autotransporter_T5SS
espI		CAC39286	secreted autotransporter serine protease (SPATE)	Escherichia coli O91:H- 4797/97 (STEC)	VFDB R3	Autotransporter_T5SS
espP	L7020		putative exoprotein-precursor (SPATE)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	Autotransporter_T5SS
etpA	ETEC_p948_0110		two-partner secreted adhesin	Escherichia coli O78:K80:H11 H10407 (ETEC)	VFDB R3	Autotransporter_T5SS
etpB	ETEC_p948_0120		two-partner secreted adhesin	Escherichia coli O78:K80:H11 H10407 (ETEC)	VFDB R3	Autotransporter_T5SS
flu_1	EC1303_c08880	AJF55638	antigen 43 (Ag43) (AIDA-I type)	Escherichia coli O70:H32 1303 (MPEC)	manually	Autotransporter_T5SS
flu_2	EC1303_c11130	AJF55855	antigen 43 (Ag43) (AIDA-I type)	Escherichia coli O70:H32 1303 (MPEC)	manually	Autotransporter_T5SS
icsA	SDY_P214	YP_406215	autotransporter, VirG	Shigella dysenteriae Sd197 plasmid pSD1_197 (Shigella)	manually	Autotransporter_T5SS
pet	EC55989_4682		serine protease Pet precursor (plasmid-encoded toxin Pet) (SPATE)	Escherichia coli O128:H2 55989 (EAEC)	VFDB R3	Autotransporter_T5SS
pic	EC55989_3279		serine protease Pic precursor (SPATE)	Escherichia coli O128:H2 55989 (EAEC)	VFDB R3	Autotransporter_T5SS
saa		AAL26283	STEC autoagglutinating adhesin	Escherichia coli 98NK2 plasmid pO113 (STEC)	manually	Autotransporter_T5SS
sat	c3619		secreted autotransporter toxin (SPATE)	Escherichia coli O6:K2:H1 CFT073 (UPEC)	VFDB R3	Autotransporter_T5SS
sepA	ECOK1_0270	YP_006099515	hemoglobin-binding protease Hbp (SPATE)	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	manually	Autotransporter_T5SS
tibA		AAD41751	adhesin/invasin tibA precursor (Glycoprotein tibA) (AIDA-I type)	Escherichia coli O78:K80:H11 H10407 (ETEC)	VFDB R3	Autotransporter_T5SS
tsh	APECO1_O1CoBM73		temperature-sensitive hemagglutinin (SPATE)	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	VFDB R3	Autotransporter_T5SS
upaB	ECP_0379	YP_668312	autotransporter	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Autotransporter_T5SS
upaC	ECP_0433	YP_668363	autotransporter/pertactin	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Autotransporter_T5SS
upaG	c4424	NP_756286	adhesin (trimeric autotransporter)	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Autotransporter_T5SS
upaH	ECP_1410	YP_669320	autotransporter/adhesin (AIDA-I type)	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Autotransporter_T5SS
upaI	ECP_2276	YP_670171	adhesin	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Autotransporter_T5SS
upaJ	ECP_3703	YP_671576	hemagglutinin/invasin	Escherichia coli O6:K15:H31 536 (UPEC)	manually	Autotransporter_T5SS
vat	c0393	NP_752330	vacuolating autotransporter toxin, hemoglobin protease (SPATE)	Escherichia coli O6:K2:H1 CFT073 (UPEC)	manually	Autotransporter_T5SS
aafD		AAD26595	aggregative adherence fimbriae AAF/II (Afa/Dr/AAF family)	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	CU_fimbriae
aafA		AAB82330	aggregative adherence fimbriae AAF/II (Afa/Dr/AAF family)	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	CU_fimbriae
aafB		AAD27809	aggregative adherence fimbriae AAF/II (Afa/Dr/AAF family)	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	CU_fimbriae
aafC		AAD27810	aggregative adherence fimbriae AAF/II (Afa/Dr/AAF family)	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	CU_fimbriae
afaA		CAW30797	afimbrial adhesin AFA-I (Afa/Dr/AAF family)	Escherichia coli O25b:H4 FV9863 (UPEC)	VFDB R3	CU_fimbriae
afaB-I		CAW30798	afimbrial adhesin AFA-I (Afa/Dr/AAF family)	Escherichia coli O25b:H4 FV9863 (UPEC)	VFDB R3	CU_fimbriae
afaC-I		CAW30799	afimbrial adhesin AFA-I (Afa/Dr/AAF family)	Escherichia coli O25b:H4 FV9863 (UPEC)	VFDB R3	CU_fimbriae
afaD		CAW30800	afimbrial adhesin AFA-I (Afa/Dr/AAF family)	Escherichia coli O25b:H4 FV9863 (UPEC)	VFDB R3	CU_fimbriae
afaE-I		CAW30801	afimbrial adhesin AFA-I (Afa/Dr/AAF family)	Escherichia coli O25b:H4 FV9863 (UPEC)	VFDB R3	CU_fimbriae
afaF		AAK16195	afimbrial adhesin AFA-VIII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaA		AAK16196	afimbrial adhesin AFA-VIII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaB		AAK16197	afimbrial adhesin AFA-VIII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaC-VIII		AAD44022	afimbrial adhesin AFA-VIII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaD		AAD44023	afimbrial adhesin AFA-VIII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaE-VIII		AAD44024	afimbrial adhesin AFA-VIII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaC-VII		AAD44025	afimbrial adhesin AFA-VII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaD		AAD44026	afimbrial adhesin AFA-VII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaG		AAD44027	afimbrial adhesin AFA-VII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaE-VII		AAD44028	afimbrial adhesin AFA-VII (Afa/Dr/AAF family)	Escherichia coli 239 KH 89	VFDB R3	CU_fimbriae
afaE-II		CAA59767	afimbrial adhesin AFA-II (Afa/Dr/AAF family)	Escherichia coli A22	VFDB R3	CU_fimbriae
afaF		CAA54112	afimbrial adhesin AFA-III (Afa/Dr/AAF family)	Escherichia coli A30	VFDB R3	CU_fimbriae
afaA		CAA54113	afimbrial adhesin AFA-III (Afa/Dr/AAF family)	Escherichia coli A30	VFDB R3	CU_fimbriae
afaB-III		CAA54115	afimbrial adhesin AFA-III (Afa/Dr/AAF family)	Escherichia coli A30	VFDB R3	CU_fimbriae
afaC-III		CAA54117	afimbrial adhesin AFA-III (Afa/Dr/AAF family)	Escherichia coli A30	VFDB R3	CU_fimbriae
afaD		CAA54118	afimbrial adhesin AFA-III (Afa/Dr/AAF family)	Escherichia coli A30	VFDB R3	CU_fimbriae
afaE-III		CAA54121	afimbrial adhesin AFA-III (Afa/Dr/AAF family)	Escherichia coli A30	VFDB R3	CU_fimbriae
afaE-V		CAA62863	afimbrial adhesin AFA-V (Afa/Dr/AAF family)	Escherichia coli AL 851	VFDB R3	CU_fimbriae
agg3D		AAM88295	aggregative adherence fimbriae AAF/III (Afa/Dr/AAF family)	Escherichia coli O128:H2 55989 (EAEC)	VFDB R3	CU_fimbriae
agg3C		AAM88296	aggregative adherence fimbriae AAF/III (Afa/Dr/AAF family)	Escherichia coli O128:H2 55989 (EAEC)	VFDB R3	CU_fimbriae
agg3B		AAM88297	aggregative adherence fimbriae AAF/III (Afa/Dr/AAF family)	Escherichia coli O128:H2 55989 (EAEC)	VFDB R3	CU_fimbriae
agg3A		AAM88298	aggregative adherence fimbriae AAF/III (Afa/Dr/AAF family)	Escherichia coli O128:H2 55989 (EAEC)	VFDB R3	CU_fimbriae
aggD		AAA57451	aggregative adherence fimbriae AAF/I (Afa/Dr/AAF family)	Escherichia coli 17-2 (EAEC)	VFDB R3	CU_fimbriae
aggC		AAA57452	aggregative adherence fimbriae AAF/I (Afa/Dr/AAF family)	Escherichia coli 17-2 (EAEC)	VFDB R3	CU_fimbriae
aggB		AAA57453	aggregative adherence fimbriae AAF/I (Afa/Dr/AAF family)	Escherichia coli 17-2 (EAEC)	VFDB R3	CU_fimbriae
aggA		AAA57454	aggregative adherence fimbriae AAF/I (Afa/Dr/AAF family)	Escherichia coli 17-2 (EAEC)	VFDB R3	CU_fimbriae
aufA	ECS88_3825	YP_002393405	fimbrial adhesin	Escherichia coli O45:K1:H7 S88 (MNEC)	manually	CU_fimbriae
aufB	ECS88_3824	YP_002393404	fimbrial adhesin	Escherichia coli O45:K1:H7 S88 (MNEC)	manually	CU_fimbriae
aufC	ECS88_3823	YP_002393403	fimbrial adhesin	Escherichia coli O45:K1:H7 S88 (MNEC)	manually	CU_fimbriae
aufD	ECS88_3822	YP_002393402	fimbrial adhesin	Escherichia coli O45:K1:H7 S88 (MNEC)	manually	CU_fimbriae
aufE	ECS88_3821	YP_002393401	fimbrial adhesin	Escherichia coli O45:K1:H7 S88 (MNEC)	manually	CU_fimbriae
aufF	ECS88_3820	YP_002393400	fimbrial adhesin	Escherichia coli O45:K1:H7 S88 (MNEC)	manually	CU_fimbriae
aufG	ECS88_3819	YP_002393399	fimbrial adhesin	Escherichia coli O45:K1:H7 S88 (MNEC)	manually	CU_fimbriae
cfaA		AAC41414	colonization factor antigen I fimbriae (CFA/I)	Escherichia coli E7473 (ETEC)	VFDB R3	CU_fimbriae
cfaB		AAC41415	colonization factor antigen I fimbriae (CFA/I)	Escherichia coli E7473 (ETEC)	VFDB R3	CU_fimbriae
cfaC		AAC41416	colonization factor antigen I fimbriae (CFA/I)	Escherichia coli E7473 (ETEC)	VFDB R3	CU_fimbriae
cfaE		AAC41417	colonization factor antigen I fimbriae (CFA/I)	Escherichia coli E7473 (ETEC)	VFDB R3	CU_fimbriae
cfaD'		AAC41418	colonization factor antigen I fimbriae (CFA/I)	Escherichia coli E7473 (ETEC)	VFDB R3	CU_fimbriae
clpB		AAB39315	CS31A capsule-like antigen (K88 family adhesin)	Escherichia coli	VFDB R3	CU_fimbriae
clpC		AAB39316	CS31A capsule-like antigen (K88 family adhesin)	Escherichia coli	VFDB R3	CU_fimbriae
clpD		AAB39317	CS31A capsule-like antigen (K88 family adhesin)	Escherichia coli	VFDB R3	CU_fimbriae
clpE		AAA23598	CS31A capsule-like antigen (K88 family adhesin)	Escherichia coli	VFDB R3	CU_fimbriae
clpF		AAA23584	CS31A capsule-like antigen (K88 family adhesin)	Escherichia coli	VFDB R3	CU_fimbriae
clpG		AAA23585	CS31A capsule-like antigen (K88 family adhesin)	Escherichia coli	VFDB R3	CU_fimbriae
clpH		AAA23780	CS31A capsule-like antigen (K88 family adhesin)	Escherichia coli	VFDB R3	CU_fimbriae
clpL		AAA23586	CS31A capsule-like antigen (K88 family adhesin)	Escherichia coli	VFDB R3	CU_fimbriae
cooB		AAT07440	coli surface antigen CS1, CS1 pilin	Escherichia coli (ETEC)	VFDB R3	CU_fimbriae
cooA		AAT07441	coli surface antigen CS1, CS1 pilin	Escherichia coli (ETEC)	VFDB R3	CU_fimbriae
cooC		AAT07442	coli surface antigen CS1, CS1 pilin	Escherichia coli (ETEC)	VFDB R3	CU_fimbriae
cooD		AAT07443	coli surface antigen CS1, CS1 pilin	Escherichia coli (ETEC)	VFDB R3	CU_fimbriae
cotB		CAA87760	coli surface antigen CS2	Escherichia coli C91f-6	VFDB R3	CU_fimbriae
cotA		CAA87761	coli surface antigen CS2	Escherichia coli C91f-6	VFDB R3	CU_fimbriae
cotC		CAA87762	coli surface antigen CS2	Escherichia coli C91f-6	VFDB R3	CU_fimbriae
cotD		CAA87763	coli surface antigen CS2	Escherichia coli C91f-6	VFDB R3	CU_fimbriae
cs3-1		CAA34815	coli surface antigen CS3, CS3 fimbriae	Escherichia coli PB176	VFDB R3	CU_fimbriae
cs3-2		CAA34816	coli surface antigen CS3, CS3 fimbriae	Escherichia coli PB176	VFDB R3	CU_fimbriae
cs3-3		CAA34820	coli surface antigen CS3, CS3 fimbriae	Escherichia coli PB176	VFDB R3	CU_fimbriae
csaA		AAK97134	coli surface antigen CS4	Escherichia coli O25:H42 E11881A (ETEC)	VFDB R3	CU_fimbriae
csaB		AAK97135	coli surface antigen CS4	Escherichia coli O25:H42 E11881A (ETEC)	VFDB R3	CU_fimbriae
csaC		AAK97136	coli surface antigen CS4	Escherichia coli O25:H42 E11881A (ETEC)	VFDB R3	CU_fimbriae
csaE		AAK97137	coli surface antigen CS4	Escherichia coli O25:H42 E11881A (ETEC)	VFDB R3	CU_fimbriae
csbB		AAS89776	coli surface antigen CS17	Escherichia coli O8:H9 WS6788A (ETEC)	VFDB R3	CU_fimbriae
csbA		AAS89777	coli surface antigen CS17	Escherichia coli O8:H9 WS6788A (ETEC)	VFDB R3	CU_fimbriae
csbC		AAS89778	coli surface antigen CS17	Escherichia coli O8:H9 WS6788A (ETEC)	VFDB R3	CU_fimbriae
csbD		AAS89779	coli surface antigen CS17	Escherichia coli O8:H9 WS6788A (ETEC)	VFDB R3	CU_fimbriae
csdB		AAQ19774	coli surface antigen CS19	Escherichia coli O114:H- WS0115A (ETEC)	VFDB R3	CU_fimbriae
csdA		AAQ19775	coli surface antigen CS19	Escherichia coli O114:H- WS0115A (ETEC)	VFDB R3	CU_fimbriae
csdC		AAQ19776	coli surface antigen CS19	Escherichia coli O114:H- WS0115A (ETEC)	VFDB R3	CU_fimbriae
csdD		AAQ19777	coli surface antigen CS19	Escherichia coli O114:H- WS0115A (ETEC)	VFDB R3	CU_fimbriae
cseA		AAD30557	coli surface antigen CS22	Escherichia coli ARG-3	VFDB R3	CU_fimbriae
csfA		CAA11820	coli surface antigen CS5	Escherichia coli	VFDB R3	CU_fimbriae
csfB		CAA11821	coli surface antigen CS5	Escherichia coli	VFDB R3	CU_fimbriae
csfC		CAA11822	coli surface antigen CS5	Escherichia coli	VFDB R3	CU_fimbriae
csfE		CAA11823	coli surface antigen CS5	Escherichia coli	VFDB R3	CU_fimbriae
csfF		CAB40218	coli surface antigen CS5	Escherichia coli	VFDB R3	CU_fimbriae
csfD		CAA11825	coli surface antigen CS5	Escherichia coli	VFDB R3	CU_fimbriae
cshA		CAA50785	coli surface antigen CS13 (PCFO9) (K88 family adhesin)	Escherichia coli PE	VFDB R3	CU_fimbriae
cshB		CAA50786	coli surface antigen CS13 (PCFO9) (K88 family adhesin)	Escherichia coli PE	VFDB R3	CU_fimbriae
cshC		CAA50787	coli surface antigen CS13 (PCFO9) (K88 family adhesin)	Escherichia coli PE	VFDB R3	CU_fimbriae
cshD		CAA50788	coli surface antigen CS13 (PCFO9) (K88 family adhesin)	Escherichia coli PE	VFDB R3	CU_fimbriae
cshE		CAA50789	coli surface antigen CS13 (PCFO9) (K88 family adhesin)	Escherichia coli PE	VFDB R3	CU_fimbriae
cshF		CAA50790	coli surface antigen CS13 (PCFO9) (K88 family adhesin)	Escherichia coli PE	VFDB R3	CU_fimbriae
cshG		CAA50791	coli surface antigen CS13 (PCFO9) (K88 family adhesin)	Escherichia coli PE	VFDB R3	CU_fimbriae
csnA		AAL31637	coli surface antigen CS20	Escherichia coli H721A	VFDB R3	CU_fimbriae
cssD	EcB7A_2076		coli surface antigen CS6	Escherichia coli O148:H28 B7A (ETEC)	VFDB R3	CU_fimbriae
cssC	EcB7A_2077		coli surface antigen CS6	Escherichia coli O148:H28 B7A (ETEC)	VFDB R3	CU_fimbriae
cssB	EcB7A_2078		coli surface antigen CS6	Escherichia coli O148:H28 B7A (ETEC)	VFDB R3	CU_fimbriae
cssA	EcB7A_2079		coli surface antigen CS6	Escherichia coli O148:H28 B7A (ETEC)	VFDB R3	CU_fimbriae
csuB		AAQ20104	coli surface antigen CS14 (PFCO166)	Escherichia coli O78:H18 WS3294A (APEC)	VFDB R3	CU_fimbriae
csuA1		AAQ20105	coli surface antigen CS14 (PFCO166)	Escherichia coli O78:H18 WS3294A (APEC)	VFDB R3	CU_fimbriae
csuA2		AAQ20106	coli surface antigen CS14 (PFCO166)	Escherichia coli O78:H18 WS3294A (APEC)	VFDB R3	CU_fimbriae
csuC		AAQ20107	coli surface antigen CS14 (PFCO166)	Escherichia coli O78:H18 WS3294A (APEC)	VFDB R3	CU_fimbriae
csuD		AAQ20108	coli surface antigen CS14 (PFCO166)	Escherichia coli O78:H18 WS3294A (APEC)	VFDB R3	CU_fimbriae
cswA		AAK09047	coli surface antigen CS12 (PCFO159)	Escherichia coli O159:H4 350C1	VFDB R3	CU_fimbriae
cswB		AAK09048	coli surface antigen CS12 (PCFO159)	Escherichia coli O159:H4 350C1	VFDB R3	CU_fimbriae
cswC		AAK09049	coli surface antigen CS12 (PCFO159)	Escherichia coli O159:H4 350C1	VFDB R3	CU_fimbriae
cswD		AAK09050	coli surface antigen CS12 (PCFO159)	Escherichia coli O159:H4 350C1	VFDB R3	CU_fimbriae
cswE		AAK09051	coli surface antigen CS12 (PCFO159)	Escherichia coli O159:H4 350C1	VFDB R3	CU_fimbriae
cswF		AAK09052	coli surface antigen CS12 (PCFO159)	Escherichia coli O159:H4 350C1	VFDB R3	CU_fimbriae
cswG		AAK09053	coli surface antigen CS12 (PCFO159)	Escherichia coli O159:H4 350C1	VFDB R3	CU_fimbriae
daaC		ABU51870	F1845 fimbrial adhesin (Afa/Dr/AAF family)	Escherichia coli C1845	VFDB R3	CU_fimbriae
daaF		AAA23662	F1845 fimbrial adhesin (Afa/Dr/AAF family)	Escherichia coli C1845	VFDB R3	CU_fimbriae
daaA		AAA23663	F1845 fimbrial adhesin (Afa/Dr/AAF family)	Escherichia coli C1845	VFDB R3	CU_fimbriae
daaE		AAA23661	F1845 fimbrial adhesin (Afa/Dr/AAF family)	Escherichia coli C1845	VFDB R3	CU_fimbriae
daaD		AAG10405	F1845 fimbrial adhesin (Afa/Dr/AAF family)	Escherichia coli C1845	VFDB R3	CU_fimbriae
dra2E	ECU95163	AAB65153	Dr-II (Afa/Dr/AAF family)	Escherichia coli EC7372 (UPEC)	manually	CU_fimbriae
draA		AAK16475	Dr haemagglutinin flexible fimbriae (Afa/Dr/AAF family)	Escherichia coli O75:K5:H- IH11128	VFDB R3	CU_fimbriae
draB		AAK16476	Dr haemagglutinin flexible fimbriae (Afa/Dr/AAF family)	Escherichia coli O75:K5:H- IH11128	VFDB R3	CU_fimbriae
draC		AAK16477	Dr haemagglutinin flexible fimbriae (Afa/Dr/AAF family)	Escherichia coli O75:K5:H- IH11128	VFDB R3	CU_fimbriae
draD		AAK16478	Dr haemagglutinin flexible fimbriae (Afa/Dr/AAF family)	Escherichia coli O75:K5:H- IH11128	VFDB R3	CU_fimbriae
draP		AAK16479	Dr haemagglutinin flexible fimbriae (Afa/Dr/AAF family)	Escherichia coli O75:K5:H- IH11128	VFDB R3	CU_fimbriae
draE		AAK16480	Dr haemagglutinin flexible fimbriae (Afa/Dr/AAF family)	Escherichia coli O75:K5:H- IH11128	VFDB R3	CU_fimbriae
eafA	ECW_m3364	YP_006125972	alpha-type fimbriae	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
eafB	ECW_m3363	YP_006125971	alpha-type fimbriae	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
eafC	ECW_m3362	YP_006125970	alpha-type fimbriae	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
eafD	ECW_m3361	YP_006125969	alpha-type fimbriae	Escherichia coli O6:K-:H49 W ATCC9637 (NPEC)	manually	CU_fimbriae
ecpE	Z0356		E. coli common pilus (ECP), mat fimbriae (meningitis-associated and temperature regulated fimbriae); yagV	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ecpD	Z0357		E. coli common pilus (ECP), mat fimbriae (meningitis-associated and temperature regulated fimbriae); yagW	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ecpC	Z0358		E. coli common pilus (ECP), mat fimbriae (meningitis-associated and temperature regulated fimbriae); yagX	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ecpB	Z0359		E. coli common pilus (ECP), mat fimbriae (meningitis-associated and temperature regulated fimbriae); yagY	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ecpA	Z0360		E. coli common pilus (ECP), mat fimbriae (meningitis-associated and temperature regulated fimbriae); yagZ	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ecpR	Z0361		E. coli common pilus (ECP), mat fimbriae (meningitis-associated and temperature regulated fimbriae); ykgK	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ycbQ	Z1286		E. coli YcbQ laminin-binding fimbriae (ELF); elfA	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ycbR	Z1287		E. coli YcbQ laminin-binding fimbriae (ELF); elfD	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ycbS	Z1288m		E. coli YcbQ laminin-binding fimbriae (ELF); elfC	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ycbT	Z1290		E. coli YcbQ laminin-binding fimbriae (ELF); elfG	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
ycbU	Z1291		E. coli YcbQ laminin-binding fimbriae (ELF)	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	CU_fimbriae
